Provincia,Frelimo,MDM,Renamo,Amusi,Total
Maputo City,242105,30646,109362,867,382980
Gaza,654413,11976,18190,0,684579
Inhambane,246212,14114,44016,1102,305444
Manica,365359,12568,110946,1161,490034
Tete,457526,12208,121808,1473,593015
Zambezia,505906,26217,228615,2861,763599
Nampula,495644,28611,300151,13987,838393
Niassa,176920,7660,73062,970,258612
Cabo Delgado,353205,14817,96673,2228,466923
